#,Category,Line Item,As at 31 December 2024 (million SAR),As at 31 December 2023 (million SAR)
1,Assets,Cash and deposits with banks and other financial institutions,"315,912","329,785"
2,Assets,Investment securities,"2,164,945","1,728,778"
3,Assets,Trade receivables,"70,776","58,566"
4,Assets,Financing and advances,"713,049","658,759"
5,Assets,Derivatives,"39,412","25,537"
6,Assets,Inventories,"25,910","25,515"
7,Assets,Other assets,"205,543","159,855"
8,Assets,Investments in associates and joint ventures,"196,866","165,049"
9,Assets,Investment properties,"65,466","60,051"
10,Assets,"Property, plant and equipment","399,148","324,572"
11,Assets,Intangible assets and goodwill,"106,772","111,288"
12,Assets,Right-of-use assets,"13,431","12,726"
13,Assets,Deferred tax assets,"4,206","3,167"
14,Liabilities,Customer deposits,"646,045","685,397"
15,Liabilities,Loans and borrowings,"570,437","466,039"
16,Liabilities,Derivatives,"28,767","23,565"
17,Liabilities,Deferred government grants,"75,627","10,241"
18,Liabilities,Zakat and income tax,"8,474","7,645"
19,Liabilities,Trade and other payables,"254,179","208,875"
20,Liabilities,Lease liabilities,"14,656","13,544"
21,Liabilities,Employees’ benefits,"15,813","13,298"
22,Liabilities,Provisions,"18,650","17,141"
23,Liabilities,Deferred tax liabilities,"5,484","5,068"
24,Equity,Capital contribution,"364,673","364,673"
25,Equity,Additional capital contribution,"1,551,885","942,919"
26,Equity,Retained earnings,"628,145","616,312"
27,Equity,General reserves,"30,589","30,589"
28,Equity,Other reserves,"-109,101","60,072"
30,Equity,Non-controlling interest,"217,113","198,270"
