أعداد ضباط الاتصال في الجهات الحكومية لدى المركز السعودي للأعمال الاقتصادية ,,,
#,اسم الجهة الحكومية,عدد ضباط الاتصال,
1,وزارة السياحة,2,
2,البريد السعودي,3,
3,لجنة الإفلاس,2,
4,الهيئة السعودية للمواصفات والمقاييس والجودة,2,
5,وزارة الصحة,1,
6,الهيئة السعودية للملكية الفكرية,2,
7,الهيئة السعودية لتنظيم الكهرباء,1,
8,المركز السعودي لكفاءة الطاقة,2,
9,الهيئة العامة للإحصاء,1,
10,الهيئة العامة للمعارض والمؤتمرات,2,
11,الهيئة الملكية للجبيل وينبع,1,
12,الهيئة العامة للصناعات العسكرية,1,
13,البنك المركزي السعودي,1,
14,مركز الملك عبدالعزيز للخيل العربية,1,
15,وزارة الخارجية,4,
16,وزارة البلديات والإسكان,3,
17,الهيئة السعودية للمقيمين المعتمدين,1,
18,الهيئة السعودية للمدن الصناعية ومناطق التقنية,1,
19,الهيئة العامة للطيران المدني,2,
20,الهيئة العامة للترفية,1,
21,هيئة السوق المالية,1,
22,الهيئة السعودية للمقاولين,2,
23,الهيئة العامة للنقل,2,
24,اتحاد الغرف السعودي,1,
25,المركز الوطني للرقابة على الإلتزام البيئي,3,
26,الهيئة السعودية للمهندسين,1,
27,وزارة التعليم,1,
28,وزارة الإعلام,1,
29,هيئة الاتصالات والفضاء والتقنية,1,
30,الهيئة العامة لتنظيم الاعلام,1,
31,الهيئة العامة للموانئ,1,
32,لجنة المساهمات العقارية,1,
33,وزارة البيئة و المياة والزراعة,1,
34,الجمارك,1,
35,المؤسسة العامة للتدريب التقني والمهني,3,
36,هيئة الغذاء والدواء,2,
37,وزارة الاتصالات,1,
38,هيئة المدن والمناطق الاقتصادية الخاصة,1,
39,شركة المياة الوطنية,1,
40,وزارة النقل,1,
41,وزارة الصناعة والثروة المعدنية,2,
42,وزارة الموارد البشرية ( مراكز الضيافة ),1,
43,وزارة الموارد البشرية ( منصة قوى ),1,
44,وزارة الموارد البشرية ( منصة مدد ),1,
45,وزارة الموارد البشرية ( هدف ),2,
46,هيئة تقويم التعليم والتدريب,1,
47,الهيئة العليا للأمن الصناعي,2,
48,وزارة الداخلية ( المديرية العامة للدفاع المدني ),1,
49,المديرية العامة للجوازات,1,
50,وزارة الداخلية ( منصة مقيم ),1,
51,وزارة الداخلية ( منصة أبشر اعمال ),1,
52,وزارة الداخلية  ( الأمن العام - شموس ),2,
53,وزارة الداخلية ( المديرية العامة لحرس الحدود (منصة زاول ),1,
54,وزارة الداخلية ( القوات الخاصة للأمن البيئي ),2,
55,وزارة الداخلية ( الإدارة العامة للمرور ),1,
56,وزارة التجارة ( التجارة الإلكتورنية ),3,
57,الهيئة العامة للعقار,1,
58,الهيئة السعودية للتخصصات الطبية,1,
59,وزارة الرياضة ( الاتحاد السعودي لركوب الأمواج ),1,
60,الاتحاد السعودي للرياضات البحرية والغوص,1,
61,وزارة الرياضة ( الاتحاد السعودي للملاحة الشراعية ),1,
62,وزارة الرياضة ( الاتحاد السعودي للتسلق والهايكنج ),1,
63,وزارة الرياضة ( الاتحاد السعودي للتجديف ),1,
64,وزارة الرياضة ( الاتحاد السعودي للدراجات ),1,
65,وزارة الرياضة ( الاتحاد السعودي للكانو والكاياك ),1,
66,وزارة الرياضة ( الاتحاد السعودي للرماية ),1,
67,وزارة الرياضة ( لاتحاد السعودي لرياضات المغامرة ),1,
68,وزارة الرياضة ( التراخيص ),1,
69,هيئة الهلال الأحمر السعودي,1,
70,وزارة الثقافة,1,
71,مجلس الشؤون الاقتصادية والتنمية (الإقامة المميزة),1,
72,الهيئة السعودية للبحر الأحمر,1,
73,هيئة المحتوى المحلي والمشتريات والحكومية,1,
74,هيئة التأمين,1,
75,الهيئة السعودية للمياه,1,
76,أمانة منطقة الرياض,1,
77,أمانة منطقة تبوك,1,
78,أمانة الحدود الشمالية,1,
79,أمانة منطقة الجوف,1,
80,أمانة منطقة حائل,1,
81,أمانة المدينة المنورة,1,
82,أمانة المدينة الباحة,1,
83,أمانة العاصمة المقدسة,1,
84,أمانة محافظة جدة,1,
85,أمانة المنطقة الشرقية,1,
86,أمانة منطقة القصيم,1,
87,أمانة منطقة جازان,1,
88,أمانة منطقة عسير,1,
89,أمانة محافظة الطائف,1,
90,أمانة محافظة الاحساء,1,
91,المركز الوطني للمنشآت العائلية ,2,
92,منصة ناجز اعمال ,1,
93,الشركة السعودية للكهرباء,1,
94,امانة منطقة نجران,1,
