العاملين في القطاع الخاص ,,,,,,,,,,المنشأت في القطاع الخاص ,,,,,,,,,
تصنيف العاملين في القطلاع الخاص (سعودي/غير سعودي),,,,,,تصنيف العاملين في القطاع الخاص حسب المهنة,,,,تصنيف المنشآت حسب النوع (رئيسي/فرعي),,,,,تصنيف المنشآت في القطاع الخاص حسب عدة ابعاد ,,,,
سعودي,," 2,316,565 ",,,,المهنة,اجمالي العاملين,,,نوع المنشآة,,العدد,,,المنطقة, النشاط الاقتصادي,حجم المنشأة,لون النطاق,عدد المنشأت 
غير سعودي,," 8,655,437 ",,,,لم يحدد,2,,,رئيسي,," 1,707,738 ",,,الباحة,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"7,319"
,,,,,, طبيب جراح مسالك بولية,243,,,فرعي,," 624,100 ",,,الجوف,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"15,035"
تصنيف العاملين في القطاع الخاص حسب الجنس  (ذكر/أنثى),,,,,,إحصائي,526,,,,,,,,الحدود الشمالية,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"4,828"
سعودي-ذكر,," 1,370,768 ",,,,احصائي اكتواري,33,,,أجمالي عدد المنشآت في القطاع الخاص,,," 2,333,442 ",,الرياض,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"69,752"
سعودي انثى,," 945,797 ",,,,احصائي تطبيقي,12,,,,,,,,الشرقية,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"34,019"
وافد-ذكر,," 8,320,573 ",,,,إحصائي صحي,35,,,تصنيف المنشآت حسب النوع (شركة/مؤسسة),,,,,القصيم,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"28,815"
وافد-انثى,," 334,864 ",,,,احصائي عام,152,,,النوع,,رئيسي ,فرعي ,,القصيم,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,نطاق ابيض,نطاق أبيض,1
,,,,,,أخ,1,,,شركة,شركة," 249,266 "," 57,639 ",,المدينة,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"24,110"
,,,,,,اختصاصي اجناس وسلالات,0,,,مؤسسة,مؤسسة," 1,458,469 "," 566,461 ",,تبوك,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"13,673"
أجمالي العاملين في القطاع الخاص ,,,,,,اختصاصي احصاء,26,,,,,,,,جازان,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"9,852"
" 10,972,002 ",,,,,,اختصاصي احياء مائية,22,,,تصنيف المنشأت حسب المنطقة الإدارية,,,,,حائل,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"16,896"
,,,,,,اختصاصي اختبارات نفسيه,0,,,المنطقة,,العدد,,,عسير,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"37,790"
,,,,,,اختصاصي ادوية طبيعية,3,,,الباحة,,"23,882",,,مكة المكرمة,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"43,204"
,,,,,,اختصاصي ادوية عام,14,,,الجوف,,"43,385",,,مكة المكرمة,التشييد,نطاق ابيض,نطاق أبيض,1
,,,,,,اختصاصي ادوية كيميائية,4,,,الحدود الشمالية,,"23,265",,,مكة المكرمة,النقل والتخزين,نطاق ابيض,نطاق أبيض,1
,,,,,,اختصاصي ارشاد زراعي,20,,,الرياض,,"898,047",,,نجران,غير خاضعة لانشطة ISIC4,نطاق ابيض,نطاق أبيض,"15,115"
,,,,,,اختصاصي اعادة تأمين,0,,,الشرقية,,"268,270",,,الباحة,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,7
,,,,,,اختصاصي آفات زراعية,10,,,القصيم,,"126,309",,,الباحة,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,13
,,,,,,اختصاصي البيئه البحريه,21,,,المدينة,,"125,058",,,الباحة,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,90
,,,,,,اختصاصي امدادات طائرات,0,,,تبوك,,"57,394",,,الباحة,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي امراض الحيوان,2,,,جازان,,"77,791",,,الباحة,الأنشطة العقارية,صغيرة (فئة ب),احمر,3
,,,,,,اختصاصي امراض النبات,3,,,حائل,,"68,331",,,الباحة,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي امصال,1,,,عسير,,"145,770",,,الباحة,التشييد,صغيرة (فئة ب),احمر,43
,,,,,,اختصاصي انتاج افلام,25,,,مكة المكرمة,,"421,998",,,الباحة,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي بستنة عام,1,,,نجران,,"53,942",,,الباحة,التعليم,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي بكتيريا,8,,,,,,,,الباحة,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,26
,,,,,,اختصاصي تأمين -عام,2,,,,,,,,الباحة,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,4
,,,,,,اختصاصي تأمين ضد المخاطر,0,,,,,,,,الباحة,الصناعة التحويلية,صغيرة (فئة ب),احمر,42
,,,,,,اختصاصي تحاليل طبية,977,,,,,,,,الباحة,المعلومات والاتصالات,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي تخطيط طبي,27,,,,,,,,الباحة,النقل والتخزين,صغيرة (فئة ب),احمر,6
,,,,,,اختصاصي تربية حيوان,6,,,,,,,,الباحة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,201
,,,,,,اختصاصي تربية دواجن,3,,,,,,,,الجوف,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,43
,,,,,,اختصاصي تربية مواشي,9,,,,,,,,الجوف,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,28
,,,,,,اختصاصي تربية نحل,0,,,,,,,,الجوف,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,90
,,,,,,اختصاصي تركيب نظارات طبية,18,,,,,,,,الجوف,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي ترميم اثار,0,,,,,,,,الجوف,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي تسويق,19184,,,,,,,,الجوف,الأنشطة العقارية,صغيرة (فئة ب),احمر,7
,,,,,,اختصاصي تصوير طبي,499,,,,,,,,الجوف,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,3
,,,,,,اختصاصي تصوير فوتغرافي,76,,,,,,,,الجوف,التشييد,صغيرة (فئة ب),احمر,67
,,,,,,اختصاصي تعليم بواسطة الادوات السمعية والبصرية,62,,,,,,,,الجوف,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي تغذية عام,740,,,,,,,,الجوف,التعليم,صغيرة (فئة ب),احمر,6
,,,,,,اختصاصي تغذية مرضى,598,,,,,,,,الجوف,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,23
,,,,,,اختصاصي تمريض امومه وطفولة,22,,,,,,,,الجوف,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,27
,,,,,,اختصاصي تمريض جراحة,10,,,,,,,,الجوف,الصناعة التحويلية,صغيرة (فئة ب),احمر,54
,,,,,,اختصاصي تمريض صحة عامة,107,,,,,,,,الجوف,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,3
,,,,,,اختصاصي تمريض عام,1839,,,,,,,,الجوف,المعلومات والاتصالات,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي تنقيب اثار,1,,,,,,,,الجوف,النقل والتخزين,صغيرة (فئة ب),احمر,13
,,,,,,اختصاصي تهجين حيوان ( علم وراثة ),3,,,,,,,,الجوف,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,346
,,,,,,اختصاصي تهجين نبات,0,,,,,,,,الحدود الشمالية,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,6
,,,,,,اختصاصي توثيق البرامج والنظم,80,,,,,,,,الحدود الشمالية,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,10
,,,,,,اختصاصي ثروة حيوانية عام,13,,,,,,,,الحدود الشمالية,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,73
,,,,,,اختصاصي حدائق,11,,,,,,,,الحدود الشمالية,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,2
,,,,,,اختصاصي حشرات,62,,,,,,,,الحدود الشمالية,الأنشطة العقارية,صغيرة (فئة ب),احمر,1
,,,,,,اختصاصي خدمة اجتماعية,805,,,,,,,,الحدود الشمالية,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,2
,,,,,,اختصاصي خلايا حيه,5,,,,,,,,الحدود الشمالية,التشييد,صغيرة (فئة ب),احمر,43
,,,,,,اختصاصي رعاية اجتماعية,176,,,,,,,,الحدود الشمالية,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,1
