خلال الفترة During The Period,عميل مؤسسي* Institutional Client*,عميل مؤهل* Qualified Client*,عميل تجزئة Retail Client* 
"الربع الأول عام  2021م
First quarter 2021",6,157,2339
"الربع الثاني عام  2021م
Second quarter 2021",1,207,6083
"الربع الثالث عام  2021م
Third quarter 2021",8,584,6818
"الربع الرابع عام  2021م
Fourth quarter 2021",15,939,10282
"الربع الأول عام  2022م
First quarter 2022",22,1008,13500
"الربع الثاني عام  2022م
Second quarter 2022",43,1150,17479
"الربع الثالث عام  2022م
Third quarter 2022",20,1156,41267
"الربع الرابع عام  2022م
Fourth quarter 2022",53,2549,68080
"الربع الأول عام  2023م
First quarter 2023",30,2986,89206
"الربع الثاني عام  2023م
Second quarter 2024",22,4135,144607
"الربع الثالث عام  2023م
Third quarter 2023",20,5093,158038
"الربع الرابع عام  2023م
Fourth quarter 2023",99,7913,211764
"الربع الأول عام  2024م
First quarter 20234",76,10340,248745
"الربع الثاني عام  2024م
Second quarter 2024",60,10680,249703
"الربع الثالث عام  2024م
Third quarter 2024",109,14789,349414
"الربع الرابع عام  2024م
Fourth quarter 2024",218,17803,396592
"الربع الأول عام  2025م
First quarter 2025",163,20018,440130
"الربع الثاني عام  2025م
Second quarter 2025",90,18490,432979
"الربع الثالث عام  2025م
Third quarter 2025",171,26963,634624
"الربع الرابع عام  2025م
Fourth quarter 2025",165,24236,633100
*حسب قائمة المصطلحات المستخدمة في لوائح هيئة السوق المالية وقواعدها,-,-,-
-,-,-,* According to the Glossary of Defined Terms Used in the Regulations and Rules of the Capital Market Authority
