Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19," (مليون ريال)
 (Million Riyals)",Unnamed: 21,Unnamed: 22,Unnamed: 23
الفترة Period,"الربع الأول عام 2019م
First quarter 2019","الربع الثاني عام  2019م
Second quarter 2019","الربع الثالث عام  2019م
Third quarter 2019"," عام  2019م
 2019","الربع   الأول عام 2020م
First quarter 2020","الربع   الثاني عام 2020م
Second quarter 2020","الربع   الثالث عام 2020م
Third quarter 2020","عام  2020م
 2020","الربع   الأول عام 2021م
First quarter 2021","الربع   الثاني عام 2021م
Second quarter 2021","الربع   الثالث عام 2021م
Third quarter 2021"," عام  2021م
  2021","الربع   الأول عام 2022م
First quarter 2022","الربع   الثاني عام 2022م
Second quarter 2022","الربع  الثالث عام 2022م
Third quarter 2022"," عام  2022م
 2022","الربع   الأول عام 2023م
First quarter 2023","الربع   الثاني عام 2023م
Second quarter 2023","الربع  الثالث عام 2023م
Third quarter 2023","عام 2023م
2023","الربع الأول عام  2024م
First quarter 2024م ","الربع الثاني عام  2024م
Second quarter 2024 ","الربع الثالث عام 2024م
Third quarter 2024"
" 
  إدارة وتطوير العقارات Real Estate Mgmt & Dev't ",36036.7545,47992.153,46012.5754,48622.3049,46017.575,51694.954008,45390.2546,46176.124041,45858.96954899999,46758.71925,43845.10725,41602.78615,43064.80276400001,41988.385978,44242.903,44960.968483,43532.3625,45022.2378,48096.205619,49818.583385,52543.81,54143.84,54751.18
الاتصالات Telecommunication Services,33813,38416.79,39814.442,40872.014,38673.82870000001,34587.6761,33969.4328,34431.38400000001,32500.807,33262.8554,33504.3307,36386.967594,32869.73817,33702.46370000001,33009.07410000001,36150.081517,36078.3771,34917.6976,46443.6096,49760.6259,45101.12,47214.75,36074.43
" 
  الادوية Pharma, Biotech & Life Science ",1020,1345.529,1354.1655,1209.7801,1354.1655,1334.2953,1334.1359,1351.6343,1339.4158,1326.4553,1329.9435,1294.8167,1341.3916,1528.7474,1231.4332,1081.7432,1257.3131,1228.8669,1106.9938,1121.6412,1320.78,1575.1,1605.63
" 
 Financial Services الخدمات المالية ",14253,14371.9851,14964.9928,14333.4362,14858.0963,15572.5224,16865.7962,16285.8506,15012.8854,14908.6746,15322.2547,17819.410513,15802.2755,16259.1453,17720.2153,19805.2579,22914.7951,25487.993241,22638.759661,21675.947,20628.69,20187.89,19979.3
" 
  Media and Entertainment الإعلام والترفيه ",1235,1250.2974,1369.9618,1277.2469,1247.0876,1127.711665,1140.2714,1113.5825,1064.2882,1060.617902,1158.681875,3373.049042,2077.184186,2804.042259,2769.0028,2567.2815,2599.9912,2407.6889,2289.140526,3886.7999,4706.67,4561.03,4116.12
" 
  الخدمات الاستهلاكية Consumer Services",7785,8052.0278,8230.5293,8867.7864,8101.916409,6914.3754954,7388.7271,7182.237263999999,7194.780093,7751.569097000001,7389.934622999999,7949.370706000001,8071.697414000001,8279.574914,8368.271245,8251.281405000002,9412.951832,10076.796556,9779.552209000001,9333.366970000001,9741.46,9603.54,9351
" 
  الخدمات التجارية والمهنية Commercial & Professional Svc ",2376,2819.7781,1530.6992,1421.2001,1530.6992,1926.487585,1753.494,1702.7867,1685.5228,1692.6366,1577.346379,1361.321315,951.1442999999999,1349.8902,1926.0139,1753.9216,1782.289636,1783.607222,1725.297522,1711.6764,1697.19,1843.85,1863.51
" 
  الرعاية الصحية    Health Care Equipment & Svc ",4917,5625.6859,4894.056,8837.3704,6955.5936,7775.0464,8257.2891,8978.551038,9490.7019,9203.6462,9433.588076,10525.80531,11622.0934,11974.3506,12123.7762,11505.7248,11821.3,12433.4706,13242.2125,13477.1819,13393.36,14602.67,14949.07
" 
  السلع الرأسمالية Capital Goods ",7764,7897.6667,6099.252699999999,5890.484100000001,6093.8869,6137.041499999999,5972.979899999999,5278.1388,5209.198815000001,5561.219000000001,5923.290532999999,4792.659103000001,5376.9924,5487.094999999999,5788.266600000001,6709.040499999999,6985.839199999999,7123.4204,7111.538900000001,6730.227800000001,5057.42,6010.88,6051.38
