رقم التسجيل,اسم العلامة عربي,اسم العلامة انجليزي,حالة العلامة,نوع العلامة من حيث الوصف,نوع العلامة,الفئة,اسم المالك بالعربي,اسم المالك بالانجليزي,تاريخ تسجيل العلامة,الجنسية,تاريخ بداية الحماية,وصف العلامة,تاريخ نهاية الحماية,تاريخ النشر
1444022137,-,PADELX,علامة مسجلة,لفظية,علامة تجارية ,فئة18,-,Padelbolaget Sweden AB,5/2/2023 15:20,السويد,1/11/2023 10:48,تتكون العلامة من الكلمة منطوقها العربي باديلكس كتبت بحروف لاتينية كبيرة باللون الأسود والعلامة ككل باللونين الأبيض والأسود,9/23/2032 10:48,2/12/2023 11:19
1445002170,-,NORTH STAR,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة41,شركة مركز دبي التجاري العالمي لمالكها سلطة مركز دبي التجاري العالمي شركة الشخص الواحد ش.ذ.م.م ,Dubai World Trade Centre LLC Owned by Dubai World Trade Centre Authority one person company limited liability company,11/20/2023 10:20,الإمارات العربية المتحدة,8/2/2023 17:06,كلمة نورث بحروف لاتينية بخط مميز و فوق حرف تي اللاتيني يمتد خط لجهة اليمين يدنوها كلمة ستار بحروف لاتينية بشكل مميز حيث يخرج من حرف تي اللاتيني خط متجه للأعلى ينتهي بحرف اكس اللاتيني والعلامة باللون الأسود ,4/15/2033 17:06,9/5/2023 17:37
1444017961,-,CYCLUS,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة36,شركة حلول السحابة للاتصالات وتقنية المعلومات شركة شخص واحد,Hulool Al Sahabah for Communication and Information Technology Company (One Person Company),4/6/2023 15:49,المملكة العربية السعودية ,12/11/2022 16:05,كلمة سايكلوس بأحرف لاتينية مميزة,8/24/2032 16:05,1/9/2023 17:58
1444044709,-,Samsung Care+,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة36,-,"Samsung Electronics Co., Ltd.",10/11/2023 14:54,كوريا الجنوبية,7/5/2023 12:19,عبارة سامسونج كير بحروف لاتينية واشارة زائد باللون الاسود وبجانبها رسم لما يشبه شكل قلب غير مكتمل بالالوان الازرق والابيض.,3/18/2033 12:19,8/3/2023 15:07
1444036317,-,FLEXCARE,علامة مسجلة,لفظية,علامة تجارية ,فئة 9,-,ALSTOM Holdings,10/19/2023 16:14,فرنسا,5/3/2023 17:10,كلمة فليكسكير بحروف لاتينية,1/14/2033 17:10,8/17/2023 11:17
1444036274,-,TOUPOP,علامة مسجلة,لفظية,علامة تجارية ,فئة14,-,"Guangzhou Athena Jewelry Co., Ltd.",9/2/2023 19:44,الصين,5/2/2023 15:27,كلمة توبوب بحروف لاتينية باللون الأسود,1/13/2033 15:27,6/6/2023 18:05
1444043024,-,onic,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة41,شركة مجموعة الإمارات للإتصالات ش.م.ع,-,11/2/2023 14:19,الإمارات العربية المتحدة,6/18/2023 14:28,كلمة أونيك بحروف لاتينية باللون البنفسجي وبخط عريض مميز حيث أن الحرف اللاتيني ان والحرف اللاتيني أي متصلين والعلامة على خلفية بيضاء,3/1/2033 14:28,8/6/2023 8:50
1444014627,ف,-,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة6,مؤسسة فايز محمد علي الشغدلي التجاريه,-,2/28/2023 18:09,المملكة العربية السعودية ,11/15/2022 10:27,حرف فاء بطريقة هندسية باللون الأزرق.,7/29/2032 10:27,12/15/2022 15:36
1444008275,-,Ave & you,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة 3,-,MetricsCosmetics GmbH,1/18/2023 13:34,ألمانيا,9/27/2022 9:20,تتكون العلامة من العبارة منطوقها العربي اّيفي اند يو كتبت بحروف لاتينية كبيرة باللون الأسود والعلامة ككل باللونين الأبيض و الاسود,6/9/2032 9:20,10/27/2022 14:17
1444010893,-,CORRE ENERGY,علامة مسجلة,لفظية,علامة تجارية ,فئة39,كوري اينرجي ستوريج بي. في.,Corre Energy Storage B.V.,1/29/2023 22:24,هولندا,10/18/2022 14:29, عبارة كوري اينرجي بحروف لاتينية .,6/30/2032 14:29,11/6/2022 16:52
1444046192,-,MOLNLYCKE,علامة مسجلة,لفظية,علامة تجارية ,فئة45,-,Molnlycke Health Care AB,10/16/2023 15:49,السويد,7/16/2023 12:00,كلمة مولنليكي بحروف لاتينية ويعلو الحرف أو نقطتان,3/29/2033 12:00,8/2/2023 9:42
1445000319,بوابة الأعمال,Business Gate,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة36,شركة عبدالله ابراهيم السبيعي العقارية (شركة شخص واحد),-,12/11/2023 19:18,المملكة العربية السعودية ,7/19/2023 16:56,شكل مربع به إطارين يشكلان زاوية متجهة إلى اليسار على شكل شريطين عريضة بتدرجات اللون الأحمر يتوسطه لون أبيض ويتوسطة إطار باللون الرمادي على شكل زاوية متجهة لليمين وفي الأسفل إطار بخط رفيع باللون الأحمر ويدنو الشكل عبارة بوابة الأعمال مكتوبة بأحرف عربية باللون الأحمر يدنوها عبارة بزنس قيت مكتوبة بأحرف لاتينية باللون الرمادي.,4/1/2033 16:56,10/10/2023 15:27
1444018592,بترولوب,PETROLUBE,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة 4,شركة بترولوب للزيوت شركة شخص واحد مساهمة مقفلة,-,3/1/2023 15:59,المملكة العربية السعودية ,12/15/2022 8:41,كلمة بترولوب بحروف لاتينية باللونين الأخضر و الاصفر يعلوها كلمة بترولوب بالعربية باللونين الأخضر و الاصفر و على الخلفية رسم لاربعة اشكال هندسية رباعية الاضلاع باللون الاخضر. ,8/28/2032 8:41,12/27/2022 18:40
1445003968,-,OUTSMART CHANGE,علامة مسجلة,لفظية,علامة تجارية ,فئة38,-,GENERAL MOTORS LLC,11/20/2023 16:42,الولايات المتحدة الأمريكية,8/16/2023 10:42,العبارة اوتسمارت شينج بحروف لاتينية باللون الأسود,4/29/2033 10:42,9/12/2023 9:17
1444035495,-,ONBALLA,علامة مسجلة,لفظية,علامة تجارية ,فئة 9,-,Pfizer Inc.,8/28/2023 22:19,الولايات المتحدة الأمريكية,4/27/2023 8:59,كلمة اونبالا بحروف لاتينية باللون الأسود وبخط عريض ,1/8/2033 8:59,6/4/2023 12:50
1444036577,ليوا,Liwa,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة 3,حسام بن سعد بن حسين الحارثي,-,7/18/2023 21:15,المملكة العربية السعودية ,5/4/2023 22:44,خلفية بيضاء بداخلها كلمة ليوا بحروف عربية اسفلها كلمة  ليوا بحروف لاتينية باللون الاسود                                                                                                                                                                                                                                                                      ,1/15/2033 22:44,5/17/2023 17:50
1444017287,-,BR Building Rank,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة42,شركة معايير الأبنية للتقييم والتطوير العقاري,-,3/7/2023 16:49,الأردن,12/5/2022 15:25,رسم إطارين دائريين يتخللهما خطوط منحنية ومائلة وأشكال صغيرة ويتوسطها الحرفين اللاتينيين بي آر متداخلين بشكل خاص وأسفلها كلمتا بيلدينغ رانك بحروف لاتينية مميزة,8/18/2032 15:25,12/18/2022 16:45
1444021964,مسرعة الأمن السيبراني,CYBERSECURITY ACCELERATOR ,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة35,الهيئة الوطنية للأمن السيبراني,-,6/8/2023 19:55,المملكة العربية السعودية ,1/10/2023 13:19,عبارة سايبرسيكوريتي اكسيليريتور بحروف لاتينية وعبارة مسرعة الأمن السيبراني بحروف عربيه تحت شكل مميز يشبه الدرع باللونين الأحمر والأرجواني مع نخلة وسيفين متقاطعين في المنتصف,9/22/2032 13:19,3/12/2023 16:32
1444025284,-,JAKEMANS,علامة مسجلة,لفظية,علامة تجارية ,فئة 5,-,G R Lane Health Products Ltd,4/19/2023 20:04,المملكة المتحدة,2/2/2023 12:13,كلمة جيكمانز بحروف لاتينية باللون الأسود,10/16/2032 12:13,2/12/2023 15:20
1444030889,-,HUNGERSTATION MARKET,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة31,شركة هنقرستيشن المحدوده شركة شخص واحد,-,6/21/2023 17:52,المملكة العربية السعودية ,3/16/2023 15:50,عبارة عن كلمة هنقرستيشن مكتوبة بالحروف اللاتينية باللون البني وتحتها مربع باللون الاخضر الفاتح ومكتوب بدخله ماركت باللون الابيض,11/27/2032 15:50,4/3/2023 13:54
1444040153,-,zash coffee,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة30,شركة الوجبات الشهيرة لتقديم الوجبات,-,8/10/2023 21:14,المملكة العربية السعودية ,5/30/2023 11:31,علامة دائرية خضراء اللون داكن بداخلها علامة حصان اسود ومكتوب على طوارفها بالابيض زاش كافيه باللاتيني.,2/10/2033 11:31,6/9/2023 18:30
1444012867,شاي الجبلي,Al Jably tea,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة30,مؤسسة شاهي خدير للتجارة,-,3/8/2023 18:19,المملكة العربية السعودية ,11/1/2022 13:03,كلمتا شاي الجبلي بحروف عربية وكلمتا الجبلي تي بحروف لاتينيه باللون البني الغامق وفي الاعلى اربع ورقات خضراء وفي اعلى الورقات رسم جبل,7/15/2032 13:03,11/17/2022 15:52
1444017444,-,CO2 BATTERY,علامة مسجلة,لفظية,علامة تجارية ,فئة 9,-,ENERGY DOME S.P.A,2/27/2023 16:35,إيطاليا,12/7/2022 14:57,عبارة سي أوه تو باتيري بحروف لاتينية باللون الأسود,8/20/2032 14:57,12/12/2022 10:10
1444041439,-,HAPPY 4-FAMILY,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة25,شركة الحياة الحديثة التجارية,-,11/29/2023 23:06,المملكة العربية السعودية ,6/7/2023 11:19,بطاقة بداخلها كلمة هابي وتحتها مثلث باللون الاحمر بداخله رقم اربعه باللاتيني وتنطق فور فاميلي  بحروف لاتينية باللون الاحمر يعلوها  رسم رجل وامره وطفل باللون الكحلي  مع رسم اشكال هندسية باللون الازرق والفضي.,2/18/2033 11:19,9/5/2023 17:22
1444043650,-,Ecoline E,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة44,ايكولاين سرفسز ,Ecoline Services,11/9/2023 15:29,لبنان,6/21/2023 20:14, حرف اي اللاتيني اسفله كلمة باللغة اللاتينية ايكولين والعلامة ككل باللون الازرق والابيض,3/4/2033 20:14,8/16/2023 14:00
1444038416,-,PELGRAZ,علامة مسجلة,لفظية,علامة تجارية ,فئة 5,-,Accord Healthcare Limited,8/6/2023 17:55,المملكة المتحدة,5/18/2023 13:17,كلمة بيلغراز بحروف لاتينية باللون الاسود,1/29/2033 13:17,5/30/2023 15:38
