المنطقة,نوع التدريب,عدد المقبولون في الكليات التقنية لعام 2025 م,
منطقة الباحة,دبلوم الكليات التقنية,2633,
منطقة الجوف,دبلوم الكليات التقنية,5135,
منطقة الحدود الشمالية,دبلوم الكليات التقنية,2315,
منطقة الرياض,دبلوم الكليات التقنية,21699,
منطقة الشرقية,دبلوم الكليات التقنية,11176,
منطقة القصيم,دبلوم الكليات التقنية,9953,
منطقة المدينة المنورة,دبلوم الكليات التقنية,9151,
منطقة تبوك,دبلوم الكليات التقنية,4691,
منطقة جازان,دبلوم الكليات التقنية,7177,
منطقة حائل,دبلوم الكليات التقنية,3870,
منطقة عسير,دبلوم الكليات التقنية,14648,
منطقة مكة المكرمة,دبلوم الكليات التقنية,18810,
منطقة نجران,دبلوم الكليات التقنية,3392,
الإجمالي ,دبلوم الكليات التقنية,114650,
