السنة ميلادي,السنة هجري,الإدارة العامة,اسم المدرسة,السلطة,المرحلة ,جنس المدرسة
2025,1446,الرياض,ابتدائية ابراج المعرفة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية ابراج المعرفة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية ابن خلدون العالمية - المنار,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية ابن خلدون العالمية - الياسمين -,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية ابن خلدون العالمية -عرقه,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية ابن خلدون العالمية (المنار),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية ابن خلدون العالمية الياسمين,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية ابن خلدون العالمية عرقة,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية ابن رشد الجزيرة التعليمية (عالمي),عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية ابن رشد الجزيرة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية ابن رشد المهدية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية ابن رشد النموذجية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية ابن رشد النموذجية للتعليم العالمية - بنين,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية ابن رشد الياسمين العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية ابن رشد الياسمين العالميه,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية ابن رشد قرطبة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية ابن رشد قرطبة العالمية المونسيه,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية ابن رشد قرطبة برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية ابناء النبلاء العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية اتقان التربية المونسية دبلوما امريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية اجيال الثريا العالمية*,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية اجيال العالم للتعليم العالمية ملحقة,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية ارتال التأسيسية العالمية العليا,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية اس اي كي الرياض العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية اس اي كي الرياض العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية اضواء الهداية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية اضواء الهداية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية اطلس العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية اطياب العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية إعمار الزمردة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية افاق المنصورة دبلومة امريكية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الابتكارية / المسار المصري,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الابتكارية اشبيليا برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الابتكارية المسار مصري,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الابتكارية دبلوما امريكي (اشبيليا),عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الإبداع العالمية (عرقة),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الاثير برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الاثير مسار مصري,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الاثيوبية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الارتيرية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الارقم دبلوما امريكي*,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الآفاق العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الافق العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الافق العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الالسن العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الالسن العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الالسن مسار مصري,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الالسن مسار مصري,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الالف العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الالف العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الألمانية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الأماكن الثانية العالمية-العزيزية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الامجاد العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الأمجاد العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الأمريكية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الأوائل الأهلية قسم الدبلوما الأمريكية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الأوزون العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الأوزون العالمية / أمريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الباكستانية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الباكستانية العالمية / أردو,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية البراعة العالمية*,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية البريطانية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
