الإدارة التعليمية,Education Departments,إجمالي عدد الموهوببين,موهوبين بنين,موهوبين بنات,تصنيف موهبة استثنائية,تصنيف موهوب
الإدارة العامة للتعليم بالمنطقة الشرقية,Education Department of Eastern Province,14727,7325,7402,1080,13647
الإدارة العامة للتعليم بمحافظة الإحساء,Education Department in Alahsa Region,4140,1731,2409,347,3793
الإدارة العامة للتعليم بمحافظة الطائف,Education Department in Taif Region,1689,766,923,74,1615
الإدارة العامة للتعليم بمحافظة جدة,Education Department in Jeddah Region,10102,4755,5347,775,9327
الإدارة العامة للتعليم بمنطقة الباحة,Education Department in Albaha Region,856,417,439,22,834
الإدارة العامة للتعليم بمنطقة الجوف,Education Department in Al-Jouf Region,582,263,319,24,558
الإدارة العامة للتعليم بمنطقة الرياض,Education Department in Riyadh Region,16715,6935,9780,1024,15691
الإدارة العامة للتعليم بمنطقة القصيم,Education Department in Qassim Region,3478,1709,1769,430,3048
الإدارة العامة للتعليم بمنطقة المدينة المنورة,Education Department in Almadina Region,5133,2655,2478,316,4817
الإدارة العامة للتعليم بمنطقة تبوك,Education Department in Tabuk Region,1409,630,779,49,1360
الإدارة العامة للتعليم بمنطقة جازان,Education Department in Jazan Region,2650,1095,1555,113,2537
الإدارة العامة للتعليم بمنطقة عسير,Education Department in Asir Region,3025,1436,1589,112,2913
الإدارة العامة للتعليم بمنطقة مكة المكرمة,Education Department in Makkah Region,5320,2449,2871,333,4987
الإدارة العامة للتعليم بمنطقة نجران,Education Department in Najran Region,370,181,189,16,354
الإدارة العامة للتعليم بمنطقة الحدود الشمالية,Education Department in the Northern Borders Region,430,213,217,16,414
الإدارة العامة للتعليم بمنطقة حائل,Education Department in Hail Region,341,97,244,12,329
سعوديون في الخارج + بيانات متفرقة,Saudis abroad + Unclassified Data,35,16,19,5,30
الإجمالي,Total,71002,32673,38329,4748,66254
