السنة هجري,السنة ميلادي,الإدارة العامة,السلطة,الجنس,الجنسية, العدد
1446,2025,الشرقية,حكومي,ذكر,سعودي,16575
1446,2025,الشرقية,حكومي,ذكر,غير سعودي,2234
1446,2025,الشرقية,حكومي,أنثى,سعودي,19426
1446,2025,الشرقية,حكومي,أنثى,غير سعودي,2432
1446,2025,الشرقية,أهلي,ذكر,سعودي,4220
1446,2025,الشرقية,أهلي,ذكر,غير سعودي,524
1446,2025,الشرقية,أهلي,أنثى,سعودي,1881
1446,2025,الشرقية,أهلي,أنثى,غير سعودي,258
1446,2025,الشرقية,عالمي وأجنبي,ذكر,سعودي,315
1446,2025,الشرقية,عالمي وأجنبي,ذكر,غير سعودي,373
1446,2025,الشرقية,عالمي وأجنبي,أنثى,سعودي,314
1446,2025,الشرقية,عالمي وأجنبي,أنثى,غير سعودي,291
1446,2025,الشرقية,الهيئة الملكية,ذكر,سعودي,1217
1446,2025,الشرقية,الهيئة الملكية,ذكر,غير سعودي,37
1446,2025,الاحساء,حكومي,ذكر,سعودي,7520
1446,2025,الاحساء,حكومي,ذكر,غير سعودي,352
1446,2025,الاحساء,حكومي,أنثى,سعودي,7984
1446,2025,الاحساء,حكومي,أنثى,غير سعودي,334
1446,2025,الاحساء,أهلي,ذكر,سعودي,908
1446,2025,الاحساء,أهلي,ذكر,غير سعودي,132
1446,2025,الاحساء,أهلي,أنثى,سعودي,536
1446,2025,الاحساء,أهلي,أنثى,غير سعودي,73
1446,2025,الاحساء,عالمي وأجنبي,ذكر,سعودي,116
1446,2025,الاحساء,عالمي وأجنبي,ذكر,غير سعودي,42
1446,2025,الاحساء,عالمي وأجنبي,أنثى,سعودي,68
1446,2025,الاحساء,عالمي وأجنبي,أنثى,غير سعودي,27
1446,2025,الباحة,حكومي,ذكر,سعودي,2778
1446,2025,الباحة,حكومي,ذكر,غير سعودي,168
1446,2025,الباحة,حكومي,أنثى,سعودي,2951
1446,2025,الباحة,حكومي,أنثى,غير سعودي,165
1446,2025,الباحة,أهلي,ذكر,سعودي,31
1446,2025,الباحة,أهلي,ذكر,غير سعودي,18
1446,2025,الباحة,أهلي,أنثى,سعودي,8
1446,2025,الباحة,عالمي وأجنبي,أنثى,غير سعودي,1
1446,2025,الجوف,حكومي,ذكر,سعودي,4177
1446,2025,الجوف,حكومي,ذكر,غير سعودي,259
1446,2025,الجوف,حكومي,أنثى,سعودي,4110
1446,2025,الجوف,حكومي,أنثى,غير سعودي,256
1446,2025,الجوف,أهلي,ذكر,سعودي,1180
1446,2025,الجوف,أهلي,ذكر,غير سعودي,84
1446,2025,الجوف,أهلي,أنثى,سعودي,943
1446,2025,الجوف,أهلي,أنثى,غير سعودي,77
1446,2025,الجوف,عالمي وأجنبي,ذكر,غير سعودي,6
1446,2025,الجوف,عالمي وأجنبي,أنثى,غير سعودي,2
