السنة,السنة ميلادي,المنطقة الإدارية,الإدارة العامة بمنطقة/محافظة,إدارة التعليم,المرحلة ,السلطة,مكتب التعليم,جنس المدرسة, جملة سعودي,جملة غير سعودي, جملة طلاب
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة الإبتدائية,حكومي,إدارة الإشراف التربوي,بنات,4767,257,5024
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة الإبتدائية,حكومي,إدارة الإشراف التربوي,بنين,1978,96,2074
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة الإبتدائية,حكومي,مكتب التعليم بقلوة,بنات,3309,134,3443
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة الإبتدائية,حكومي,مكتب التعليم بقلوة,بنين,1627,37,1664
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة الثانوية,حكومي,إدارة الإشراف التربوي,بنات,1694,62,1756
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة الثانوية,حكومي,إدارة الإشراف التربوي,بنين,1831,57,1888
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة الثانوية,حكومي,مكتب التعليم بقلوة,بنات,1241,30,1271
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة الثانوية,حكومي,مكتب التعليم بقلوة,بنين,1201,22,1223
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة المتوسطة,حكومي,إدارة الإشراف التربوي,بنات,1761,57,1818
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة المتوسطة,حكومي,إدارة الإشراف التربوي,بنين,1673,71,1744
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة المتوسطة,حكومي,مكتب التعليم بقلوة,بنات,1190,23,1213
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,المرحلة المتوسطة,حكومي,مكتب التعليم بقلوة,بنين,1347,34,1381
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,رياض الأطفال,أهلي,إدارة الإشراف التربوي,بنات,194,33,227
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,رياض الأطفال,حكومي,إدارة الإشراف التربوي,بنات,1052,1,1053
1446,2025,الباحة,الباحة,إدارة التعليم بمحافظة المخواة,رياض الأطفال,حكومي,مكتب التعليم بقلوة,بنات,797,0,797
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الإبتدائية,أهلي,مكتب التعليم بالوسط,بنات,121,2,123
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الإبتدائية,أهلي,مكتب التعليم بالوسط,بنين,9,7,16
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الإبتدائية,حكومي,مكتب التعليم بالعقيق,بنات,3812,190,4002
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الإبتدائية,حكومي,مكتب التعليم بالعقيق,بنين,1419,90,1509
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الإبتدائية,حكومي,مكتب التعليم بالمندق,بنات,3413,195,3608
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الإبتدائية,حكومي,مكتب التعليم بالمندق,بنين,1738,88,1826
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الإبتدائية,حكومي,مكتب التعليم بالوسط,بنات,8935,1295,10230
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الإبتدائية,حكومي,مكتب التعليم بالوسط,بنين,3694,477,4171
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الإبتدائية,عالمي وأجنبي,مكتب التعليم بالوسط,بنات,77,106,183
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الإبتدائية,عالمي وأجنبي,مكتب التعليم بالوسط,بنين,38,111,149
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الثانوية,أهلي,مكتب التعليم بالوسط,بنات,14,0,14
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الثانوية,أهلي,مكتب التعليم بالوسط,بنين,73,38,111
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الثانوية,حكومي,مكتب التعليم بالعقيق,بنات,1243,49,1292
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الثانوية,حكومي,مكتب التعليم بالعقيق,بنين,1150,47,1197
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الثانوية,حكومي,مكتب التعليم بالمندق,بنات,1390,31,1421
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الثانوية,حكومي,مكتب التعليم بالمندق,بنين,1348,39,1387
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الثانوية,حكومي,مكتب التعليم بالوسط,بنات,3245,289,3534
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الثانوية,حكومي,مكتب التعليم بالوسط,بنين,3209,320,3529
