Year;Quarter;Unit;Economic Activity;GDP;Date
2010;Q1;Index;Agriculture, Forestry & Fishing;64.2;2010-03
2010;Q1;Index;Mining & Quarrying;76.8;2010-03
2010;Q1;Index;Manufacturing : Manufacturing excluding petroleum refining;46.7;2010-03
2010;Q1;Index;Transport, Storage & Communication;49.8;2010-03
2010;Q1;Index;Government Activities;68.0;2010-03
2010;Q1;Index;Gross Value Added;58.2;2010-03
2010;Q1;Index;Gross Domestic Product;58.0;2010-03
2010;Q2;Index;Electricity, Gas and Water;63.4;2010-06
2010;Q2;Index;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;51.2;2010-06
2010;Q2;Index;Gross Value Added;59.0;2010-06
2010;Q3;Index;Electricity, Gas and Water;91.8;2010-09
2010;Q3;Index;Transport, Storage & Communication;45.5;2010-09
2010;Q4;Index;Mining & Quarrying : Other Mining & Quarrying;54.8;2010-12
2010;Q4;Index;Construction;42.7;2010-12
2011;Q1;Index;Mining & Quarrying : Crude Petroleum & Natural Gas;88.4;2011-03
2011;Q1;Index;Mining & Quarrying : Other Mining & Quarrying;72.1;2011-03
2011;Q1;Index;Construction;51.1;2011-03
2011;Q1;Index;Wholesale & Retail Trade, Restaurants & hotels;51.7;2011-03
2011;Q1;Index;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;51.2;2011-03
2011;Q1;Index;Community, Social & Personal Services;32.6;2011-03
2011;Q2;Index;Mining & Quarrying : Other Mining & Quarrying;67.3;2011-06
2011;Q3;Index;Transport, Storage & Communication;52.7;2011-09
2011;Q3;Index;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;47.3;2011-09
2011;Q3;Index;Gross Value Added;68.1;2011-09
2011;Q3;Index;Gross Domestic Product;68.0;2011-09
2011;Q4;Index;Mining & Quarrying : Crude Petroleum & Natural Gas;99.8;2011-12
2011;Q4;Index;Transport, Storage & Communication;57.1;2011-12
2011;Q4;Index;Government Activities;94.1;2011-12
2011;Q4;Index;Net Taxes on Products;77.2;2011-12
2011;Q4;Index;Gross Domestic Product;71.2;2011-12
2012;Q1;Index;Mining & Quarrying : Other Mining & Quarrying;75.1;2012-03
2012;Q1;Index;Transport, Storage & Communication;62.4;2012-03
2012;Q1;Index;Finance, Insurance, Real Estate & Business Services;60.6;2012-03
2012;Q2;Index;Mining & Quarrying;101.1;2012-06
2012;Q2;Index;Mining & Quarrying : Crude Petroleum & Natural Gas;101.7;2012-06
2012;Q3;Index;Mining & Quarrying;99.7;2012-09
2012;Q3;Index;Mining & Quarrying : Crude Petroleum & Natural Gas;100.3;2012-09
2012;Q3;Index;Finance, Insurance, Real Estate & Business Services;58.5;2012-09
2012;Q3;Index;Finance, Insurance, Real Estate & Business Services : Real Estate;66.7;2012-09
2012;Q4;Index;Wholesale & Retail Trade, Restaurants & hotels;60.8;2012-12
2012;Q4;Index;Transport, Storage & Communication;60.4;2012-12
2012;Q4;Index;Community, Social & Personal Services;35.2;2012-12
2012;Q4;Index;Gross Value Added;72.3;2012-12
2013;Q1;Index;Agriculture, Forestry & Fishing;74.9;2013-03
2013;Q1;Index;Mining & Quarrying : Other Mining & Quarrying;77.3;2013-03
2013;Q1;Index;Manufacturing : Manufacturing excluding petroleum refining;61.1;2013-03
2013;Q1;Index;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;57.1;2013-03
2013;Q1;Index;Community, Social & Personal Services;38.9;2013-03
2013;Q2;Index;Agriculture, Forestry & Fishing;78.3;2013-06
2013;Q2;Index;Manufacturing;64.4;2013-06
2013;Q2;Index;Manufacturing : Petroleum Refining;62.8;2013-06
2013;Q2;Index;Manufacturing : Manufacturing excluding petroleum refining;62.5;2013-06
2013;Q2;Index;Electricity, Gas and Water;78.4;2013-06
2013;Q2;Index;Community, Social & Personal Services;38.8;2013-06
2013;Q3;Index;Agriculture, Forestry & Fishing;80.4;2013-09
2013;Q3;Index;Manufacturing : Manufacturing excluding petroleum refining;59.8;2013-09
2013;Q3;Index;Transport, Storage & Communication;60.6;2013-09
2013;Q4;Index;Manufacturing : Manufacturing excluding petroleum refining;56.6;2013-12
2013;Q4;Index;Construction;58.0;2013-12
2013;Q4;Index;Finance, Insurance, Real Estate & Business Services : Real Estate;77.2;2013-12
2013;Q4;Index;Gross Domestic Product;75.9;2013-12
2014;Q1;Index;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;59.2;2014-03
2014;Q2;Index;Mining & Quarrying : Crude Petroleum & Natural Gas;98.8;2014-06
2014;Q2;Index;Manufacturing : Petroleum Refining;73.7;2014-06
2014;Q2;Index;Manufacturing : Manufacturing excluding petroleum refining;67.0;2014-06
2014;Q2;Index;Net Taxes on Products;86.3;2014-06
2014;Q2;Index;Gross Domestic Product;75.8;2014-06
2014;Q3;Index;Wholesale & Retail Trade, Restaurants & hotels;66.1;2014-09
2014;Q3;Index;Community, Social & Personal Services;45.7;2014-09
2014;Q3;Index;Net Taxes on Products;98.4;2014-09
2014;Q3;Index;Gross Domestic Product;76.2;2014-09
2014;Q4;Index;Mining & Quarrying : Crude Petroleum & Natural Gas;98.9;2014-12
2015;Q1;Index;Agriculture, Forestry & Fishing;81.8;2015-03
2015;Q1;Index;Mining & Quarrying;99.0;2015-03
2015;Q1;Index;Electricity, Gas and Water;31.6;2015-03
2015;Q1;Index;Gross Domestic Product;79.4;2015-03
2015;Q2;Index;Agriculture, Forestry & Fishing;85.3;2015-06
2015;Q2;Index;Wholesale & Retail Trade, Restaurants & hotels;64.7;2015-06
2015;Q2;Index;Government Activities;84.1;2015-06
2015;Q2;Index;Gross Value Added;80.1;2015-06
2015;Q3;Index;Mining & Quarrying;105.2;2015-09
2015;Q3;Index;Finance, Insurance, Real Estate & Business Services : Real Estate;80.0;2015-09
2015;Q3;Index;Government Activities;79.2;2015-09
2015;Q3;Index;Net Taxes on Products;98.9;2015-09
2015;Q4;Index;Mining & Quarrying;104.2;2015-12
2015;Q4;Index;Mining & Quarrying : Other Mining & Quarrying;69.1;2015-12
2015;Q4;Index;Construction;65.5;2015-12
2015;Q4;Index;Finance, Insurance, Real Estate & Business Services : Real Estate;81.8;2015-12
2015;Q4;Index;Net Taxes on Products;94.1;2015-12
2016;Q1;Index;Manufacturing : Petroleum Refining;101.7;2016-03
2016;Q2;Index;Mining & Quarrying;104.6;2016-06
2016;Q2;Index;Mining & Quarrying : Other Mining & Quarrying;75.9;2016-06
2016;Q2;Index;Manufacturing : Petroleum Refining;97.9;2016-06
2016;Q2;Index;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;61.1;2016-06
2016;Q3;Index;Mining & Quarrying : Crude Petroleum & Natural Gas;109.4;2016-09
2016;Q3;Index;Manufacturing : Petroleum Refining;104.4;2016-09
2016;Q4;Index;Construction;63.6;2016-12
2016;Q4;Index;Net Taxes on Products;79.6;2016-12
2017;Q1;Index;Transport, Storage & Communication;78.6;2017-03
2017;Q1;Index;Community, Social & Personal Services;61.4;2017-03
2017;Q1;Index;Net Taxes on Products;70.5;2017-03
2017;Q2;Index;Mining & Quarrying;102.4;2017-06
2017;Q2;Index;Manufacturing;82.4;2017-06
2017;Q2;Index;Manufacturing : Manufacturing excluding petroleum refining;74.4;2017-06
2017;Q2;Index;Electricity, Gas and Water;101.0;2017-06
2017;Q2;Index;Transport, Storage & Communication;75.9;2017-06
2017;Q2;Index;Finance, Insurance, Real Estate & Business Services : Real Estate;86.8;2017-06
2017;Q2;Index;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;60.4;2017-06
2017;Q2;Index;Community, Social & Personal Services;60.7;2017-06
2017;Q2;Index;Government Activities;83.0;2017-06
2017;Q2;Index;Gross Value Added;81.1;2017-06
2017;Q2;Index;Net Taxes on Products;79.0;2017-06
2017;Q3;Index;Gross Value Added;82.2;2017-09
2017;Q3;Index;Net Taxes on Products;66.7;2017-09
2017;Q4;Index;Manufacturing : Manufacturing excluding petroleum refining;70.3;2017-12
2017;Q4;Index;Finance, Insurance, Real Estate & Business Services;79.1;2017-12
2017;Q4;Index;Finance, Insurance, Real Estate & Business Services : Real Estate;88.1;2017-12
2017;Q4;Index;Government Activities;103.0;2017-12
2017;Q4;Index;Gross Domestic Product;86.2;2017-12
2018;Q2;Index;Mining & Quarrying;104.1;2018-06
2018;Q2;Index;Mining & Quarrying : Crude Petroleum & Natural Gas;104.5;2018-06
2018;Q2;Index;Finance, Insurance, Real Estate & Business Services : Real Estate;89.2;2018-06
2018;Q2;Index;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;65.9;2018-06
2018;Q2;Index;Net Taxes on Products;79.3;2018-06
2018;Q3;Index;Mining & Quarrying : Other Mining & Quarrying;82.7;2018-09
2018;Q3;Index;Construction;67.4;2018-09
2018;Q4;Index;Mining & Quarrying : Crude Petroleum & Natural Gas;111.5;2018-12
2018;Q4;Index;Manufacturing : Manufacturing excluding petroleum refining;71.7;2018-12
2018;Q4;Index;Construction;67.1;2018-12
2018;Q4;Index;Finance, Insurance, Real Estate & Business Services : Real Estate;90.2;2018-12
2018;Q4;Index;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;76.8;2018-12
2019;Q1;Index;Agriculture, Forestry & Fishing;89.4;2019-03
2019;Q1;Index;Mining & Quarrying : Crude Petroleum & Natural Gas;103.2;2019-03
2019;Q1;Index;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;67.6;2019-03
2019;Q1;Index;Government Activities;96.9;2019-03
2019;Q2;Index;Mining & Quarrying : Crude Petroleum & Natural Gas;101.0;2019-06
2019;Q2;Index;Mining & Quarrying : Other Mining & Quarrying;86.1;2019-06
2019;Q2;Index;Manufacturing : Manufacturing excluding petroleum refining;79.2;2019-06
2019;Q2;Index;Government Activities;90.5;2019-06
2019;Q3;Index;Mining & Quarrying;100.8;2019-09
2019;Q3;Index;Manufacturing : Petroleum Refining;99.1;2019-09
2019;Q3;Index;Finance, Insurance, Real Estate & Business Services;79.0;2019-09
2020;Q1;Index;Manufacturing : Petroleum Refining;75.6;2020-03
2020;Q1;Index;Wholesale & Retail Trade, Restaurants & hotels;75.3;2020-03
2020;Q1;Index;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;69.7;2020-03
2020;Q1;Index;Community, Social & Personal Services;75.2;2020-03
2020;Q2;Index;Agriculture, Forestry & Fishing;94.2;2020-06
2020;Q2;Index;Manufacturing : Manufacturing excluding petroleum refining;72.8;2020-06
2020;Q2;Index;Construction;58.0;2020-06
2020;Q2;Index;Government Activities;88.7;2020-06
2020;Q2;Index;Net Taxes on Products;70.4;2020-06
2020;Q3;Index;Manufacturing;78.1;2020-09
2020;Q3;Index;Finance, Insurance, Real Estate & Business Services : Real Estate;90.6;2020-09
2020;Q3;Index;Gross Value Added;82.6;2020-09
2020;Q3;Index;Net Taxes on Products;77.1;2020-09
2020;Q4;Index;Agriculture, Forestry & Fishing;82.9;2020-12
2020;Q4;Index;Manufacturing : Petroleum Refining;101.6;2020-12
2020;Q4;Index;Wholesale & Retail Trade, Restaurants & hotels;81.9;2020-12
2020;Q4;Index;Finance, Insurance, Real Estate & Business Services;87.5;2020-12
2021;Q1;Index;Manufacturing;90.2;2021-03
