Year;Quarter;Unit;Economic Activity;GDP;Date
2010;Q1;Index;Oil Activities;78.0;2010-03
2010;Q2;Index;Government Activities;68.9;2010-06
2010;Q3;Index;Government Activities;71.3;2010-09
2010;Q4;Index;Oil Activities;92.4;2010-12
2010;Q4;Index;Non-Oil Activities;48.3;2010-12
2010;Q4;Index;Gross Value Added;65.2;2010-12
2010;Q4;Index;Net Taxes on Products;68.3;2010-12
2011;Q1;Index;Oil Activities;88.4;2011-03
2011;Q1;Index;Government Activities;75.3;2011-03
2011;Q2;Index;Net Taxes on Products;77.8;2011-06
2011;Q3;Index;Government Activities;74.9;2011-09
2011;Q3;Index;Gross Value Added;68.5;2011-09
2011;Q3;Index;Net Taxes on Products;83.2;2011-09
2012;Q1;Index;Non-Oil Activities;55.3;2012-03
2012;Q1;Index;Government Activities;77.1;2012-03
2012;Q1;Index;Gross Value Added;71.9;2012-03
2012;Q2;Index;Gross Value Added;72.1;2012-06
2012;Q3;Index;Government Activities;84.8;2012-09
2013;Q1;Index;Non-Oil Activities;59.8;2013-03
2013;Q1;Index;Gross Value Added;71.9;2013-03
2013;Q2;Index;Gross Value Added;73.4;2013-06
2013;Q2;Index;Net Taxes on Products;96.2;2013-06
2013;Q2;Index;Gross Domestic Product;73.3;2013-06
2013;Q3;Index;Gross Value Added;75.1;2013-09
2013;Q4;Index;Non-Oil Activities;62.5;2013-12
2014;Q2;Index;Non-Oil Activities;64.8;2014-06
2014;Q2;Index;Net Taxes on Products;86.3;2014-06
2014;Q4;Index;Oil Activities;95.9;2014-12
2015;Q2;Index;Non-Oil Activities;67.6;2015-06
2015;Q4;Index;Net Taxes on Products;94.1;2015-12
2016;Q1;Index;Government Activities;90.0;2016-03
2016;Q2;Index;Gross Value Added;81.8;2016-06
2017;Q1;Index;Non-Oil Activities;70.6;2017-03
2017;Q3;Index;Government Activities;90.2;2017-09
2017;Q3;Index;Gross Value Added;83.5;2017-09
2018;Q1;Index;Gross Value Added;84.4;2018-03
2018;Q1;Index;Net Taxes on Products;72.3;2018-03
2018;Q3;Index;Non-Oil Activities;74.6;2018-09
2018;Q3;Index;Gross Value Added;85.9;2018-09
2018;Q4;Index;Net Taxes on Products;78.1;2018-12
2019;Q2;Index;Government Activities;94.5;2019-06
2019;Q2;Index;Gross Value Added;86.8;2019-06
2019;Q2;Index;Net Taxes on Products;84.2;2019-06
2019;Q3;Index;Gross Value Added;86.4;2019-09
2019;Q3;Index;Gross Domestic Product;86.2;2019-09
2020;Q1;Index;Oil Activities;99.0;2020-03
2020;Q4;Index;Non-Oil Activities;77.8;2020-12
2021;Q1;Index;Non-Oil Activities;80.5;2021-03
2021;Q1;Index;Gross Value Added;86.2;2021-03
2021;Q1;Index;Gross Domestic Product;85.9;2021-03
2021;Q2;Index;Government Activities;93.1;2021-06
2021;Q3;Index;Non-Oil Activities;84.1;2021-09
2021;Q3;Index;Net Taxes on Products;81.7;2021-09
2021;Q4;Index;Oil Activities;104.0;2021-12
2021;Q4;Index;Gross Domestic Product;92.4;2021-12
2022;Q1;Index;Government Activities;97.8;2022-03
2022;Q4;Index;Oil Activities;109.7;2022-12
2022;Q4;Index;Government Activities;99.9;2022-12
2023;Q1;Index;Oil Activities;107.9;2023-03
2023;Q1;Index;Government Activities;99.6;2023-03
2023;Q2;Index;Government Activities;98.8;2023-06
2023;Q3;Index;Government Activities;100.0;2023-09
2023;Q4;Index;Oil Activities;92.2;2023-12
2023;Q4;Index;Non-Oil Activities;102.1;2023-12
2024;Q2;Index;Government Activities;103.6;2024-06
2024;Q3;Index;Non-Oil Activities;106.5;2024-09
2024;Q3;Index;Gross Domestic Product;103.1;2024-09
2024;Q4;Index;Government Activities;104.5;2024-12
2024;Q4;Index;Gross Domestic Product;104.1;2024-12
2025;Q1;Index;Government Activities;104.7;2025-03
2025;Q1;Index;Gross Domestic Product;104.7;2025-03
2025;Q2;Index;Oil Activities;100.2;2025-06
2025;Q2;Index;Gross Domestic Product;106.7;2025-06
2025;Q3;Index;Oil Activities;103.5;2025-09
2025;Q3;Index;Gross Value Added;107.9;2025-09
2010;Q2;Million of Saudi Riyals;Oil Activities;256855.0;2010-06
2010;Q4;Million of Saudi Riyals;Non-Oil Activities;293481.0;2010-12
2010;Q4;Million of Saudi Riyals;Net Taxes on Products;40421.0;2010-12
2010;Q4;Million of Saudi Riyals;Gross Domestic Product;741909.0;2010-12
2011;Q1;Million of Saudi Riyals;Government Activities;117107.0;2011-03
2011;Q3;Million of Saudi Riyals;Government Activities;116470.0;2011-09
2011;Q4;Million of Saudi Riyals;Oil Activities;305714.0;2011-12
2011;Q4;Million of Saudi Riyals;Net Taxes on Products;45719.0;2011-12
2011;Q4;Million of Saudi Riyals;Gross Domestic Product;798561.0;2011-12
2012;Q2;Million of Saudi Riyals;Net Taxes on Products;55043.0;2012-06
