Medical_Field_En,Medical_Field_Ar,General_Speciality_En,General_Speciality_Ar,Rank_Name_En,Rank_Name_Ar,No. of  practitioners has valid registration
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy,علاج طبيعي,Consultant,استشاري,172
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy,علاج طبيعي,Health Assistant,مساعد صحي,2
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy,علاج طبيعي,Senior Specialist,أخصائي أول,637
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy,علاج طبيعي,Specialist,أخصائي,"14,701"
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy,علاج طبيعي,Specialist-in-training,أخصائي متدرب,23
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy,علاج طبيعي,Technician,فني,"2,306"
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Cardiovascular,علاج طبيعي - القلب والأوعية الدموية,Consultant,استشاري,7
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Cardiovascular,علاج طبيعي - القلب والأوعية الدموية,Senior Specialist,أخصائي أول,11
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Cardiovascular,علاج طبيعي - القلب والأوعية الدموية,Specialist,أخصائي,1
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Geriatrics,علاج  طبيعي - شيخوخة,Consultant,استشاري,1
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Musculoskeletal,علاج طبيعي -  عضلات وعظام,Consultant,استشاري,17
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Musculoskeletal,علاج طبيعي -  عضلات وعظام,Senior Specialist,أخصائي أول,46
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Musculoskeletal,علاج طبيعي -  عضلات وعظام,Specialist,أخصائي,5
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Musculoskeletal,علاج طبيعي -  عضلات وعظام,Technician,فني,1
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Neurological,علاج طبيعي - أعصاب,Consultant,استشاري,12
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Neurological,علاج طبيعي - أعصاب,Senior Specialist,أخصائي أول,20
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Neurological,علاج طبيعي - أعصاب,Specialist,أخصائي,3
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Pediatrics,علاج طبيعي - أطفال,Consultant,استشاري,9
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Pediatrics,علاج طبيعي - أطفال,Senior Specialist,أخصائي أول,15
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Pediatrics,علاج طبيعي - أطفال,Specialist,أخصائي,2
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Sport Medicine,علاج طبيعي -طب رياضي,Consultant,استشاري,3
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Sport Medicine,علاج طبيعي -طب رياضي,Senior Specialist,أخصائي أول,18
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Sport Physical Therapy,علاج طبيعي - العلاج الطبيعي الرياضي,Consultant,استشاري,3
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Sport Physical Therapy,علاج طبيعي - العلاج الطبيعي الرياضي,Senior Specialist,أخصائي أول,28
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Sport Physical Therapy,علاج طبيعي - العلاج الطبيعي الرياضي,Specialist,أخصائي,4
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Vestibular,علاج طبيعي -  التوازن,Consultant,استشاري,1
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Women Health,علاج طبيعي - صحة المرأة,Consultant,استشاري,1
Therapy and Rehabilitation,العلاج والتأهيل,Physiotherapy - Women Health,علاج طبيعي - صحة المرأة,Senior Specialist,أخصائي أول,1
