"2017G
No","2017G
Saudi%","2018G
No","2018G
Saudi%","2019G
No","2019G
Saudi%","2020G
No","2020G
Saudi%","2021G
No","2021G
Saudi%","2022G
No","2022G
Saudi%","2023G
No","2023G
Saudi%",Category,Sector
"42,609",31.5,"45,571",36.7,"49,139",39.9,"50,065",40.6,"53,320",44.2,"55,487",47.5,"58,260",51.4,Physicians,Ministry of Health
"3,996",83.8,"4,137",85.7,"4,843",88.2,"5,815",89.9,"6,810",91.3,"7,153",92.2,"7,056",92.5,Dentists,Ministry of Health
"46,605",36,"49,708",40.7,"53,982",44.2,"55,880",45.7,"60,130",49.6,"62,640",52.6,"65,316",55.9,Physicians & Dentists,Ministry of Health
"102,542",57.8,"104,000",59.3,"105,594",59.6,"106,255",62.3,"106,343",63.1,"104,228",67,"108,753",66.5,Nurses,Ministry of Health
"1,448",66.8,"1,473",66.6,"1,498",66.6,"1,591",66.2,"1,661",67.9,"1,655",71.7,"1,689",71.4,Midwives,Ministry of Health
"103,990",57.9,"105,473",59.4,"107,092",59.7,"107,846",62.4,"108,004",63.1,"105,883",67.1,"110,442",66.6,Total Nurses and Midwives,Ministry of Health
"3,853",93.1,"4,006",93.4,"4,221",93.1,"4,358",96.7,"4,397",97,"4,646",97.4,"4,773",98.1,Pharmacists,Ministry of Health
"59,646",93,"69,530",94.2,"71,284",95.3,"71,838",95.9,"73,685",96.3,"79,637",96.6,"86,265",97,Allied Health Personnel,Ministry of Health
"16,346",49.9,"18,155",51.3,"18,464",50.7,"20,234",55.4,"18,130",53.6,"19,644",60.1,19803,58.1,Physicians,Other Governmental Sector
"1,283",75.2,"1,431",78.8,"1,683",84.4,"1,768",82.6,"1,998",84,"1,853",83.2,2238,83.9,Dentists,Other Governmental Sector
"17,629",51.7,"19,586",53.3,"20,147",53.5,"22,002",57.5,"20,128",56.6,"21,497",62.1,22041,60.7,Physicians & Dentists,Other Governmental Sector
"35,153",14.4,"34,995",16.6,"43,570",31.1,"43,688",31.1,"42,463",33.3,"40,198",37.9,44026,40,Nurses,Other Governmental Sector
655,15.3,702,17.5,618,22.3,599,22.7,600,21.2,599,23.2,632,24.8,Midwives,Other Governmental Sector
"35,808",14.4,"35,697",16.6,"44,188",31,"44,287",31,"43,063",33.1,"40,797",37.6,44658,39.8,Total Nurses and Midwives,Other Governmental Sector
"2,304",67.6,"2,652",71.9,"2,940",79.5,"2,760",79.5,"2,914",81.5,"2,462",83.3,3386,87,Pharmacists,Other Governmental Sector
"30,214",73.3,"30,857",76.6,"26,032",75.4,"27,041",76,"26,619",78.8,"24,512",83.2,29309,84.9,Allied Health Personnel,Other Governmental Sector
"23,420",7.7,"24,297",8.1,"26,732",8.1,"25,037",21.5,"28,167",13.8,"30,201",16.1,"35,237",19.9,Physicians,Private Sector
"10,420",11.7,"11,184",15.5,"12,285",15.5,"12,039",25.3,"13,931",30.3,"14,891",31.2,"16,676",33.3,Dentists,Private Sector
"33,840",8.9,"35,481",10.4,"39,017",10.4,"37,076",22.7,"42,098",19.2,"45,092",21.1,"51,913",24.2,Physicians & Dentists,Private Sector
"44,417",5.9,"41,576",5,"45,743",5,"42,255",7.7,"47,989",6.8,"51,461",6.2,"60,331",6.8,Nurses,Private Sector
"1,478",3.7,"1,819",3,"1,990",2.9,"2,313",2.8,"2,433",2.4,"2,417",1.5,"2,676",1.1,Midwives,Private Sector
"45,895",5.8,"43,395",4.9,"47,733",4.9,"44,568",7.5,"50,422",6.6,"53,878",6,"63,007",6.5,Total Nurses and Midwives,Private Sector
"22,155",5.1,"22,467",6.4,"24,711",6.4,"20,411",16.1,"23,529",23,"26,932",27.5,"28,651",26.8,Pharmacists,Private Sector
"22,001",27,"23,925",32.6,"26,303",32.6,"25,094",41.3,"30,699",48.3,"34,213",52.2,"38,114",55.3,Allied Health Personnel,Private Sector
"82,375",28.4,"88,023",31.8,"94,335",33,"95,336",38.7,"99,617",37.3,"105,332",40.8,"113,300",42.8,Physicians,Total 
"15,699",35.3,"16,752",38.2,"18,811",40.4,"19,622",49.6,"22,739",53.3,"23,897",53.5,"25,970",53.8,Dentists,Total 
"98,074",29.5,"104,775",32.8,"113,146",34.2,"114,958",40.6,"122,356",40.3,"129,229",43.2,"139,270",44.8,Physicians & Dentists,Total 
"182,112",36.3,"180,571",38.1,"194,907",39.6,"192,198",41.3,"196,795",42.9,"195,887",45.1,"213,110",44.1,Nurses,Total 
"3,581",37.1,"3,994",39,"4,106",41.9,"4,503",43.2,"4,694",28,"4,671",29.2,"4,997",27.9,Midwives,Total 
"185,693",36.7,"184,565",38.3,"199,013",40.2,"196,701",42.9,"201,489",42.6,"200,558",44.7,"218,107",43.7,Total Nurses and Midwives,Total 
"28,312",22.2,"29,125",24.3,"31,872",24.6,"27,529",35.2,"30,840",39.1,"34,040",41,"36,810",41.6,Pharmacists,Total 
"111,861",74.7,"124,312",78,"123,619",77.8,"123,973",80.5,"131,003",81.5,"138,362",83.3,"153,688",84.3,Allied Health Personnel,Total 
