MoH,MoH,MoH,OGS,OGS,OGS,Private Sector,Private Sector,Private Sector,Total,Total,Total,Gender,Category
S,NS,Total,S,NS,Total,S,NS,Total,S,NS,Total,Gender,Category
"20,772","20,396","41,168","9,242","6,276","15,518","2,918","20,340","23,258","32,932","47,012","79,944",Male, Physicians
"15,151","11,084","26,235","5,680","2,194","7,874","1,396","14,323","15,719","22,227","27,601","49,828",Female, Physicians
"35,923","31,480","67,403","14,922","8,470","23,392","4,314","34,663","38,977","55,159","74,613","129,772",Total, Physicians
"4,776",490,"5,266","1,903",364,"2,267","3,819","7,272","11,091","10,498","8,126","18,624",Male,Dentists
"3,849",216,"4,065","1,683",234,"1,917","3,568","5,577","9,145","9,100","6,027","15,127",Female,Dentists
"8,625",706,"9,331","3,586",598,"4,184","7,387","12,849","20,236","19,598","14,153","33,751",Total,Dentists
"25,548","20,886","46,434","11,145","6,640","17,785","6,737","27,612","34,349","43,430","55,138","98,568",Male,Total Physicians and Dentists
"19,000","11,300","30,300","7,363","2,428","9,791","4,964","19,900","24,864","31,327","33,628","64,955",Female,Total Physicians and Dentists
"44,548","32,186","76,734","18,508","9,068","27,576","11,701","47,512","59,213","74,757","88,766","163,523",Total,Total Physicians and Dentists
"27,511","1,665","29,176","13,878","3,819","17,697","5,638","11,648","17,286","47,027","17,132","64,159",Male,Nurses
"48,235","39,711","87,946","8,007","23,047","31,054","2,876","57,301","60,177","59,118","120,059","179,177",Female,Nurses
"75,746","41,376","117,122","21,885","26,866","48,751","8,514","68,949","77,463","106,145","137,191","243,336",Total,Nurses
0,0,0,0,0,0,0,0,0,0,0,0,Male,Midwives
"1,448",960,"2,408",229,693,922,44,"2,765","2,809","1,721","4,418","6,139",Female,Midwives
"1,448",960,"2,408",229,693,922,44,"2,765","2,809","1,721","4,418","6,139",Total,Midwives
"27,511","1,665","29,176","13,878","3,819","17,697","5,638","11,648","17,286","47,027","17,132","64,159",Male,Total Nurses and Midwives
"49,683","40,671","90,354","8,236","23,740","31,976","2,920","60,066","62,986","60,839","124,477","185,316",Female,Total Nurses and Midwives
"77,194","42,336","119,530","22,114","27,559","49,673","8,558","71,714","80,272","107,866","141,609","249,475",Total,Total Nurses and Midwives
"3,103",55,"3,158","2,047",229,"2,276","6,394","21,966","28,360","11,544","22,250","33,794",Male, Pharmacists
"2,139",94,"2,233","2,006",234,"2,240","6,594","1,995","8,589","10,739","2,323","13,062",Female, Pharmacists
"5,242",149,"5,391","4,053",463,"4,516","12,988","23,961","36,949","22,283","24,573","46,856",Total, Pharmacists
"61,704",862,"62,566","19,333","1,236","20,569","25,126","11,188","36,314","106,163","13,286","119,449",Male, Allied health Personnel
"34,158","1,601","35,759","13,557","2,303","15,860","40,498","10,494","50,992","88,213","14,398","102,611",Female, Allied health Personnel
"95,862","2,463","98,325","32,890","3,539","36,429","65,624","21,682","87,306","194,376","27,684","222,060",Total, Allied health Personnel
