H. Year,Total No. of Plgrims, Inside Pilgrims,%, Outside Pilgrims,%,G. Year
1436,"1,952,817","567,876",29%,"1,384,941",71%,2015
1437,"1,862,909","537,537",29%,"1,325,372",71%,2016
1438,"2,352,122","600,108",26%,"1,752,014",74%,2017
1439,"2,371,675","612,953",26%,"1,758,722",74%,2018
1440,"2,489,406","634,379",25%,"1,855,027",75%,2019
1441*,...,...,...,...,...,2020*
1442,"58,745","58,745",100%,0,0%,2021
1443,"926,062","144,653",16%,"781,409",84%,2022
1444,"1,814,811","162,652",9%,"1,652,159",91%,2023
1445,"1,833,164","228,844",12%,"1,604,320",88%,2024
,,,,,,
