dataset_id,sector,completeness,consistency,uniqueness,accuracy,timeliness,full_composite,score_as_reported_available_dims,band_as_reported_available_dims,score_completeness_consistency,band_completeness_consistency,score_completeness_consistency_uniqueness,band_completeness_consistency_uniqueness,score_excl_timeliness_incl_accuracy,band_excl_timeliness_incl_accuracy
INV-01,Investment,1.0,1.0,1.0,0.9310344827586207,1.0,0.9862068965517242,0.9862,Band A,1.0,Band A,1.0,Band A,0.9828,Band A
INV-02,Investment,0.75,1.0,1.0,,1.0,0.9375,0.9375,Band A,0.875,Band A,0.9167,Band A,0.9167,Band A
INV-03,Investment,0.34336576735957536,1.0,0.9977885891198585,,1.0,0.8352885891198585,0.8353,Band B,0.6717,Band C,0.7804,Band B,0.7804,Band B
INV-04,Investment,1.0,1.0,1.0,,1.0,1.0,1.0,Band A,1.0,Band A,1.0,Band A,1.0,Band A
INV-05,Investment,1.0,0.5,1.0,,1.0,0.875,0.875,Band A,0.75,Band B,0.8333,Band B,0.8333,Band B
INV-06,Investment,1.0,0.25,1.0,,1.0,0.8125,0.8125,Band B,0.625,Band C,0.75,Band B,0.75,Band B
INV-07,Investment,1.0,1.0,1.0,,1.0,1.0,1.0,Band A,1.0,Band A,1.0,Band A,1.0,Band A
INV-08,Investment,1.0,1.0,1.0,,1.0,1.0,1.0,Band A,1.0,Band A,1.0,Band A,1.0,Band A
INV-09,Investment,0.8752236135957067,1.0,1.0,0.9499105545617174,1.0,0.9650268336314849,0.965,Band A,0.9376,Band A,0.9584,Band A,0.9563,Band A
INV-10,Investment,1.0,0.0,0.8888888888888888,,1.0,0.7222222222222222,0.7222,Band B,0.5,Band C,0.6296,Band C,0.6296,Band C
INV-11,Investment,0.8676025917926566,1.0,1.0,0.9498920086393089,1.0,0.963498920086393,0.9635,Band A,0.9338,Band A,0.9559,Band A,0.9544,Band A
INV-12,Investment,0.9998981566350952,1.0,1.0,0.94989306446685,1.0,0.989958244220389,0.99,Band A,0.9999,Band A,1.0,Band A,0.9874,Band A
INV-13,Investment,0.9998716028247379,0.7333333333333333,1.0,0.950353092231971,1.0,0.9367116056780084,0.9367,Band A,0.8666,Band A,0.9111,Band A,0.9209,Band A
HEA-01,Health,0.0,0.0,0.0,,1.0,0.25,0.25,Band C,0.0,Band C,0.0,Band C,0.0,Band C
HEA-02,Health,1.0,1.0,1.0,,1.0,1.0,1.0,Band A,1.0,Band A,1.0,Band A,1.0,Band A
HEA-03,Health,1.0,1.0,1.0,0.9375,1.0,0.9875,0.9875,Band A,1.0,Band A,1.0,Band A,0.9844,Band A
HEA-04,Health,1.0,1.0,1.0,,1.0,1.0,1.0,Band A,1.0,Band A,1.0,Band A,1.0,Band A
HEA-05,Health,1.0,1.0,1.0,,1.0,1.0,1.0,Band A,1.0,Band A,1.0,Band A,1.0,Band A
HEA-06,Health,0.5634920634920635,1.0,1.0,,1.0,0.8908730158730158,0.8909,Band A,0.7817,Band B,0.8545,Band A,0.8545,Band A
HEA-07,Health,1.0,1.0,1.0,,1.0,1.0,1.0,Band A,1.0,Band A,1.0,Band A,1.0,Band A
HEA-08,Health,1.0,1.0,1.0,,1.0,1.0,1.0,Band A,1.0,Band A,1.0,Band A,1.0,Band A
HEA-09,Health,0.9090909090909091,1.0,1.0,,1.0,0.9772727272727273,0.9773,Band A,0.9545,Band A,0.9697,Band A,0.9697,Band A
EDU-01,Education,0.75,1.0,1.0,,1.0,0.9375,0.9375,Band A,0.875,Band A,0.9167,Band A,0.9167,Band A
EDU-02,Education,1.0,1.0,1.0,0.9495949594959496,1.0,0.98991899189919,0.9899,Band A,1.0,Band A,1.0,Band A,0.9874,Band A
EDU-03,Education,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Band A,1.0,Band A,1.0,Band A,1.0,Band A
EDU-04,Education,1.0,1.0,1.0,0.9444444444444444,1.0,0.9888888888888889,0.9889,Band A,1.0,Band A,1.0,Band A,0.9861,Band A
EDU-05,Education,1.0,1.0,1.0,0.945054945054945,1.0,0.989010989010989,0.989,Band A,1.0,Band A,1.0,Band A,0.9863,Band A
EDU-06,Education,0.9993680884676145,1.0,1.0,0.9497630331753555,1.0,0.989826224328594,0.9898,Band A,0.9997,Band A,0.9998,Band A,0.9873,Band A
ENE-01,Energy,0.9918032786885246,1.0,1.0,0.9499568593615185,1.0,0.9883520276100086,0.9884,Band A,0.9959,Band A,0.9973,Band A,0.9854,Band A
ENE-02,Energy,1.0,1.0,1.0,0.9499316473000684,1.0,0.9899863294600137,0.99,Band A,1.0,Band A,1.0,Band A,0.9875,Band A
ENE-03,Energy,1.0,1.0,1.0,0.9493927125506073,1.0,0.9898785425101215,0.9899,Band A,1.0,Band A,1.0,Band A,0.9873,Band A
