dataset_id,sector,contamination,anomaly_rate,applicable
INV-01,Investment,0.02,0.034482758620689655,True
INV-01,Investment,0.05,0.06896551724137931,True
INV-01,Investment,0.075,0.10344827586206896,True
INV-01,Investment,0.1,0.10344827586206896,True
INV-01,Investment,0.15,0.1724137931034483,True
INV-02,Investment,0.02,,False
INV-02,Investment,0.05,,False
INV-02,Investment,0.075,,False
INV-02,Investment,0.1,,False
INV-02,Investment,0.15,,False
INV-03,Investment,0.02,,False
INV-03,Investment,0.05,,False
INV-03,Investment,0.075,,False
INV-03,Investment,0.1,,False
INV-03,Investment,0.15,,False
INV-04,Investment,0.02,,False
INV-04,Investment,0.05,,False
INV-04,Investment,0.075,,False
INV-04,Investment,0.1,,False
INV-04,Investment,0.15,,False
INV-05,Investment,0.02,,False
INV-05,Investment,0.05,,False
INV-05,Investment,0.075,,False
INV-05,Investment,0.1,,False
INV-05,Investment,0.15,,False
INV-06,Investment,0.02,,False
INV-06,Investment,0.05,,False
INV-06,Investment,0.075,,False
INV-06,Investment,0.1,,False
INV-06,Investment,0.15,,False
INV-07,Investment,0.02,,False
INV-07,Investment,0.05,,False
INV-07,Investment,0.075,,False
INV-07,Investment,0.1,,False
INV-07,Investment,0.15,,False
INV-08,Investment,0.02,,False
INV-08,Investment,0.05,,False
INV-08,Investment,0.075,,False
INV-08,Investment,0.1,,False
INV-08,Investment,0.15,,False
INV-09,Investment,0.02,0.02146690518783542,True
INV-09,Investment,0.05,0.05008944543828265,True
INV-09,Investment,0.075,0.07513416815742398,True
INV-09,Investment,0.1,0.09838998211091235,True
INV-09,Investment,0.15,0.15026833631484796,True
INV-10,Investment,0.02,,False
INV-10,Investment,0.05,,False
INV-10,Investment,0.075,,False
INV-10,Investment,0.1,,False
INV-10,Investment,0.15,,False
INV-11,Investment,0.02,0.020302375809935207,True
INV-11,Investment,0.05,0.05010799136069115,True
INV-11,Investment,0.075,0.07516198704103672,True
INV-11,Investment,0.1,0.09978401727861771,True
INV-11,Investment,0.15,0.15032397408207343,True
INV-12,Investment,0.02,0.02016498625114574,True
INV-12,Investment,0.05,0.050106935533150015,True
INV-12,Investment,0.075,0.07516040329972502,True
INV-12,Investment,0.1,0.0999083409715857,True
INV-12,Investment,0.15,0.15001527650473573,True
INV-13,Investment,0.02,0.020008559811684142,True
INV-13,Investment,0.05,0.0496469077680291,True
INV-13,Investment,0.075,0.07482702047221627,True
INV-13,Investment,0.1,0.09990013553035167,True
INV-13,Investment,0.15,0.14983237035451888,True
HEA-01,Health,0.02,,False
HEA-01,Health,0.05,,False
HEA-01,Health,0.075,,False
HEA-01,Health,0.1,,False
HEA-01,Health,0.15,,False
HEA-02,Health,0.02,,False
HEA-02,Health,0.05,,False
HEA-02,Health,0.075,,False
HEA-02,Health,0.1,,False
HEA-02,Health,0.15,,False
HEA-03,Health,0.02,0.03125,True
HEA-03,Health,0.05,0.0625,True
HEA-03,Health,0.075,0.09375,True
HEA-03,Health,0.1,0.125,True
HEA-03,Health,0.15,0.15625,True
HEA-04,Health,0.02,,False
HEA-04,Health,0.05,,False
HEA-04,Health,0.075,,False
HEA-04,Health,0.1,,False
HEA-04,Health,0.15,,False
HEA-05,Health,0.02,,False
HEA-05,Health,0.05,,False
HEA-05,Health,0.075,,False
HEA-05,Health,0.1,,False
HEA-05,Health,0.15,,False
HEA-06,Health,0.02,,False
HEA-06,Health,0.05,,False
HEA-06,Health,0.075,,False
HEA-06,Health,0.1,,False
HEA-06,Health,0.15,,False
HEA-07,Health,0.02,,False
HEA-07,Health,0.05,,False
HEA-07,Health,0.075,,False
HEA-07,Health,0.1,,False
HEA-07,Health,0.15,,False
HEA-08,Health,0.02,,False
HEA-08,Health,0.05,,False
HEA-08,Health,0.075,,False
HEA-08,Health,0.1,,False
HEA-08,Health,0.15,,False
HEA-09,Health,0.02,,False
HEA-09,Health,0.05,,False
HEA-09,Health,0.075,,False
HEA-09,Health,0.1,,False
HEA-09,Health,0.15,,False
EDU-01,Education,0.02,,False
EDU-01,Education,0.05,,False
EDU-01,Education,0.075,,False
EDU-01,Education,0.1,,False
EDU-01,Education,0.15,,False
EDU-02,Education,0.02,0.019801980198019802,True
EDU-02,Education,0.05,0.050405040504050404,True
EDU-02,Education,0.075,0.07560756075607561,True
EDU-02,Education,0.1,0.0999099909990999,True
EDU-02,Education,0.15,0.1494149414941494,True
EDU-03,Education,0.02,0.0,True
EDU-03,Education,0.05,0.0,True
EDU-03,Education,0.075,0.0,True
EDU-03,Education,0.1,0.0,True
EDU-03,Education,0.15,0.0,True
EDU-04,Education,0.02,0.05555555555555555,True
EDU-04,Education,0.05,0.05555555555555555,True
EDU-04,Education,0.075,0.1111111111111111,True
EDU-04,Education,0.1,0.1111111111111111,True
EDU-04,Education,0.15,0.16666666666666666,True
EDU-05,Education,0.02,0.02197802197802198,True
EDU-05,Education,0.05,0.054945054945054944,True
EDU-05,Education,0.075,0.07692307692307693,True
EDU-05,Education,0.1,0.1043956043956044,True
EDU-05,Education,0.15,0.15384615384615385,True
EDU-06,Education,0.02,0.02037914691943128,True
EDU-06,Education,0.05,0.05023696682464455,True
EDU-06,Education,0.075,0.07535545023696683,True
EDU-06,Education,0.1,0.1,True
EDU-06,Education,0.15,0.15023696682464455,True
ENE-01,Energy,0.02,0.02013229795800978,True
ENE-01,Energy,0.05,0.05004314063848145,True
ENE-01,Energy,0.075,0.07506471095772217,True
ENE-01,Energy,0.1,0.1000862812769629,True
ENE-01,Energy,0.15,0.15012942191544434,True
ENE-02,Energy,0.02,0.0196514012303486,True
ENE-02,Energy,0.05,0.050068352699931644,True
ENE-02,Energy,0.075,0.07501708817498291,True
ENE-02,Energy,0.1,0.10013670539986329,True
ENE-02,Energy,0.15,0.15003417634996583,True
ENE-03,Energy,0.02,0.020242914979757085,True
ENE-03,Energy,0.05,0.05060728744939271,True
ENE-03,Energy,0.075,0.07557354925775979,True
ENE-03,Energy,0.1,0.10053981106612686,True
ENE-03,Energy,0.15,0.150472334682861,True
