dataset_id,sector,specification,ndmo_name,dimension,observed,threshold,verdict
EDU-02,Education,3.1,Accuracy,accuracy,0.9495949594959496,0.95,borderline
EDU-04,Education,3.1,Accuracy,accuracy,0.9444444444444444,0.95,borderline
EDU-05,Education,3.1,Accuracy,accuracy,0.945054945054945,0.95,borderline
EDU-06,Education,3.1,Accuracy,accuracy,0.9497630331753555,0.95,borderline
ENE-01,Energy,3.1,Accuracy,accuracy,0.9499568593615185,0.95,borderline
ENE-02,Energy,3.1,Accuracy,accuracy,0.9499316473000684,0.95,borderline
ENE-03,Energy,3.1,Accuracy,accuracy,0.9493927125506073,0.95,borderline
HEA-03,Health,3.1,Accuracy,accuracy,0.9375,0.95,borderline
HEA-09,Health,3.2,Completeness,completeness,0.9090909090909091,0.95,borderline
INV-01,Investment,3.1,Accuracy,accuracy,0.9310344827586207,0.95,borderline
INV-09,Investment,3.1,Accuracy,accuracy,0.9499105545617174,0.95,borderline
INV-11,Investment,3.1,Accuracy,accuracy,0.9498920086393089,0.95,borderline
INV-12,Investment,3.1,Accuracy,accuracy,0.94989306446685,0.95,borderline
EDU-01,Education,3.2,Completeness,completeness,0.75,0.95,fail
HEA-01,Health,3.13,Uniqueness,uniqueness,0.0,0.99,fail
HEA-01,Health,3.2,Completeness,completeness,0.0,0.95,fail
HEA-06,Health,3.2,Completeness,completeness,0.5634920634920635,0.95,fail
HEA-01,Health,3.4,Consistency,consistency,0.0,0.95,fail
HEA-01,Health,3.5,Validity,consistency,0.0,0.95,fail
INV-10,Investment,3.13,Uniqueness,uniqueness,0.8888888888888888,0.99,fail
INV-02,Investment,3.2,Completeness,completeness,0.75,0.95,fail
INV-03,Investment,3.2,Completeness,completeness,0.34336576735957536,0.95,fail
INV-09,Investment,3.2,Completeness,completeness,0.8752236135957067,0.95,fail
INV-11,Investment,3.2,Completeness,completeness,0.8676025917926566,0.95,fail
INV-05,Investment,3.4,Consistency,consistency,0.5,0.95,fail
INV-06,Investment,3.4,Consistency,consistency,0.25,0.95,fail
INV-10,Investment,3.4,Consistency,consistency,0.0,0.95,fail
INV-13,Investment,3.4,Consistency,consistency,0.7333333333333333,0.95,fail
INV-05,Investment,3.5,Validity,consistency,0.5,0.95,fail
INV-06,Investment,3.5,Validity,consistency,0.25,0.95,fail
INV-10,Investment,3.5,Validity,consistency,0.0,0.95,fail
INV-13,Investment,3.5,Validity,consistency,0.7333333333333333,0.95,fail
