AI,Artificial Intelligence
BCS,British Computer Society
BPC,Bipartisan Policy Centre
CSIP,Computer Science Individual Project
DBSCAN,Density-Based Spatial Clustering of Applications with Noise
DCAT-AP,Data Catalogue Vocabulary Application Profile
DQ,Data Quality
DRL,Data Readiness Level
EU,European Union
FAIR,"Findable, Accessible, Interoperable, Reusable"
GASTAT,General Authority for Statistics
GDPR,General Data Protection Regulation
HLEG,High-Level Expert Group on Artificial Intelligence
IF,Isolation Forest
ISO,International Organisation for Standardisation
KSA,Kingdom of Saudi Arabia
LOF,Local Outlier Factor
LSEPI,"Legal, Social, Ethical and Professional Issues"
MENA,Middle East and North Africa
ML,Machine Learning
MQA,Metadata Quality Assurance (data.europa.eu)
NDMO,National Data Management Office
NSDAI,National Strategy for Data and Artificial Intelligence
ODI,Open Data Institute
ODIN,Open Data Inventory
OECD,Organisation for Economic Co-operation and Development
OGD,Open Government Data
PCA,Principal Component Analysis
PDPL,Personal Data Protection Law
RQ,Research Question
SDAIA,Saudi Data and Artificial Intelligence Authority
