ID,File,Publisher,Size
INV-01,Consolidated SoFP Data 2024 and 2023 CSV.csv,Ministry of Finance,1.6 KB
INV-02,Contact Person on GOV CSV.csv,Ministry of Investment,5.6 KB
INV-03,Establishments and Workers in Private Sector 2023.csv,GASTAT,706 KB
INV-04,Funded Project Tenders for Saudi Companies csv.csv,Ministry of Finance (Etimad),<1 KB
INV-05,Investors in FinTech ExPermit Companies CSV.csv,Saudi Central Bank (SAMA),1.9 KB
INV-06,Local and Foreign Investments of CMA csv.csv,Capital Market Authority,<1 KB
INV-07,Number of Deeds and Total Area in Tabuk Region CSV.csv,Ministry of Justice,<1 KB
INV-08,PIF AUM Asset Class Breakdown 2024 CSV.csv,Public Investment Fund,<1 KB
INV-09,SME Support Beneficiaries Statistics 2025 CSV.csv,Monsha'at (SME Authority),73 KB
INV-10,Total Debt By Sector Main Market CSV.csv,Saudi Exchange (Tadawul),8 KB
INV-11,pos-transactions.csv,Saudi Central Bank (SAMA),244 KB
INV-12,private sector companies csv.csv,Ministry of Commerce,306 KB
INV-13,trademarks registered in 2023 CSV.csv,Saudi Authority for Intellectual Property,12.6 MB
